Ref,Val,Package,PosX,PosY,Rot,Side
"C1","12pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",53.600000,-51.000000,180.000000,top
"C2","12pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",52.600000,-54.800000,180.000000,top
"C3","0.8pF","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",49.490000,-49.540000,180.000000,top
"C5","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",56.497500,-63.320000,180.000000,top
"C6","4.7µF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",62.680000,-68.290000,0.000000,top
"C7","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",65.020000,-56.610000,90.000000,top
"C8","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",65.460000,-54.260000,0.000000,top
"C9","820pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",61.220000,-52.890000,0.000000,top
"C10","nc","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",56.430000,-51.170000,180.000000,top
"C11","100pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",56.490000,-52.520000,180.000000,top
"C12","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",55.630000,-55.062500,-90.000000,top
"C13","nc","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",53.932500,-55.900000,180.000000,top
"C14","1µF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",54.590000,-64.160000,-90.000000,top
"C15","1µF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",50.890000,-57.280000,90.000000,top
"C16","47nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",52.360000,-57.792500,90.000000,top
"C17","12pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",55.950000,-65.900000,90.000000,top
"C18","12pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",59.570000,-68.230000,-90.000000,top
"C19","4.7µF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",61.310000,-62.620000,0.000000,top
"C20","4.7µF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",66.960000,-64.570000,180.000000,top
"C21","4.7µF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",65.120000,-61.680000,90.000000,top
"J1","Conn_01x20_Female","CastelatedHoles 1mm",49.600000,-71.400000,90.000000,top
"J2","Conn_01x20_Female","CastelatedHoles 1mm",49.590000,-46.390000,90.000000,top
"J3","Conn_01x20_Female","CastelatedHoles 1mm",72.590000,-49.400000,0.000000,top
"L1","3.9nH","L_0402_1005Metric_Pad0.77x0.64mm_HandSolder",49.390000,-50.700000,0.000000,top
"L2","10µH","L_1210_3225Metric_Pad1.42x2.65mm_HandSolder",53.040000,-60.730000,180.000000,top
"L3","15nH","L_0402_1005Metric_Pad0.77x0.64mm_HandSolder",49.950000,-60.217500,90.000000,top
"L4","10µH","L_1210_3225Metric_Pad1.42x2.65mm_HandSolder",61.970000,-65.380000,180.000000,top
"R1","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",66.400000,-60.600000,-90.000000,top
"SW1","SW_Push","SW_SPST_PTS636",69.000000,-56.930000,90.000000,top
"U1","nRF52840","Nordic_AQFN-73-1EP_7x7mm_P0.5mm",60.120000,-57.360000,90.000000,top
"X1","Crystal","XRCGB32M000F2P01R0",52.425000,-52.900000,180.000000,top
"X2","32.768kHz","Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm_HandSoldering",57.750000,-66.880000,90.000000,top
