Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,12pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,28.950000,-20.760000,180.000000,top
C2,12pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,27.950000,-24.560000,180.000000,top
C3,0.8pF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,24.840000,-19.300000,180.000000,top
C5,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,31.847500,-33.080000,180.000000,top
C6,4.7µF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,38.030000,-38.050000,0.000000,top
C7,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,40.370000,-26.370000,90.000000,top
C8,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,40.810000,-24.020000,0.000000,top
C9,820pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,36.570000,-22.650000,0.000000,top
C10,nc,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,31.780000,-20.930000,180.000000,top
C11,100pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,31.840000,-22.280000,180.000000,top
C12,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,30.980000,-24.822500,-90.000000,top
C13,nc,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,29.282500,-25.660000,180.000000,top
C14,1µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,29.940000,-33.920000,-90.000000,top
C15,1µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,26.240000,-27.040000,90.000000,top
C16,47nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,27.710000,-27.552500,90.000000,top
C17,12pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,31.300000,-35.660000,90.000000,top
C18,12pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,34.920000,-37.990000,-90.000000,top
C19,4.7µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,36.660000,-32.380000,0.000000,top
C20,4.7µF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,42.310000,-34.330000,180.000000,top
C21,4.7µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,40.470000,-31.440000,90.000000,top
J1,Conn_01x20_Female,CastelatedHoles 1mm,24.950000,-41.160000,90.000000,top
J2,Conn_01x20_Female,CastelatedHoles 1mm,24.940000,-16.150000,90.000000,top
J3,Conn_01x20_Female,CastelatedHoles 1mm,47.940000,-19.160000,0.000000,top
L1,3.9nH,L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,24.740000,-20.460000,0.000000,top
L2,10µH,L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,28.390000,-30.490000,180.000000,top
L3,15nH,L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,25.300000,-29.977500,90.000000,top
L4,10µH,L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,37.320000,-35.140000,180.000000,top
R1,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,41.750000,-30.360000,-90.000000,top
SW1,SW_Push,SW_SPST_PTS636,44.350000,-26.690000,90.000000,top
U1,nRF52840,Nordic_AQFN-73-1EP_7x7mm_P0.5mm,35.470000,-27.120000,90.000000,top
X1,Crystal,XRCGB32M000F2P01R0,27.775000,-22.660000,180.000000,top
X2,32.768kHz,Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm_HandSoldering,33.100000,-36.640000,90.000000,top
